paper,expset_accession,condition,dataset_label,biosource,biosample_type,biosample_category,tissue,treatments_summary,modifications_summary,assay_target,imaging_rounds,num_bio_reps,bio_rep_index,trace_core_file_accession,trace_core_url,all_fofct_types
Murphy_2024_PMID38361032,4DNESKTTMWMD,"mESC with tagged EED and RING1B, untreated control in 2i media",Chromatin tracing of mouse HoxA locus,"TC1 with EED-dTAG, dTAG-Ring1b",stem cells,Mouse stem cell,stem cell,None,None,multiplexed FISH,2,2,1,4DNFI9J3L3G9,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8b5c337d-3d88-4a84-9807-7eb7da2bcfed/4DNFI9J3L3G9.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)
Murphy_2024_PMID38361032,4DNESKTTMWMD,"mESC with tagged EED and RING1B, untreated control in 2i media",Chromatin tracing of mouse HoxA locus,"TC1 with EED-dTAG, dTAG-Ring1b",stem cells,Mouse stem cell,stem cell,None,None,multiplexed FISH,2,2,2,4DNFIKVDFH44,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/99378250-1d18-4495-988a-acc4cdccec52/4DNFIKVDFH44.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)
Murphy_2024_PMID38361032,4DNES6LAM7TG,mESC differentiated to cervical neural progenitor cells,Chromatin tracing of mouse HoxA locus,TC1 differentiated to neural progenitor cell,in vitro differentiated cells,In vitro Differentiation,stem cell,None,None,multiplexed FISH,2,2,1,4DNFIKCHMBEC,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/77f0e38a-2388-428f-a44d-35209eb4f3da/4DNFIKCHMBEC.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)
Murphy_2024_PMID38361032,4DNES6LAM7TG,mESC differentiated to cervical neural progenitor cells,Chromatin tracing of mouse HoxA locus,TC1 differentiated to neural progenitor cell,in vitro differentiated cells,In vitro Differentiation,stem cell,None,None,multiplexed FISH,2,2,2,4DNFI9FGBEOF,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/9867a99c-d4da-425a-929f-c39703ed97df/4DNFI9FGBEOF.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)
Murphy_2024_PMID38361032,4DNESKWHLKDQ,Mouse brain at E10.5,Chromatin tracing of mouse HoxA locus,brain,tissue,Multicellular Tissue,brain,None,None,multiplexed FISH,2,2,1,4DNFIKV75N54,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/4c65b9d6-8b2a-4125-abfb-3609a3e6aea9/4DNFIKV75N54.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)
Murphy_2024_PMID38361032,4DNESKWHLKDQ,Mouse brain at E10.5,Chromatin tracing of mouse HoxA locus,brain,tissue,Multicellular Tissue,brain,None,None,multiplexed FISH,2,2,2,4DNFI7XAFWPA,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8a1d27c0-8a0a-4569-a408-7ded7ae6290b/4DNFI7XAFWPA.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)
Murphy_2024_PMID38361032,4DNESYXWQD8L,mESC with degraded EED and RING1B via dTAG treatment,Chromatin tracing of mouse HoxA locus,"TC1 with EED-dTAG, dTAG-Ring1b",stem cells,Mouse stem cell,stem cell,"dTAG-13 treatment (500.0 nM, 8.0h)",None,multiplexed FISH,2,2,1,4DNFI8OK86NF,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/605af2e4-4c7d-460a-abe5-a6abd09d2c35/4DNFI8OK86NF.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)
Murphy_2024_PMID38361032,4DNESYXWQD8L,mESC with degraded EED and RING1B via dTAG treatment,Chromatin tracing of mouse HoxA locus,"TC1 with EED-dTAG, dTAG-Ring1b",stem cells,Mouse stem cell,stem cell,"dTAG-13 treatment (500.0 nM, 8.0h)",None,multiplexed FISH,2,2,2,4DNFIYZDTHMG,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a0989000-2031-4321-b594-2118c20e4002/4DNFIYZDTHMG.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)
Murphy_2024_PMID38361032,4DNESTQ3UVYR,"mESC with tagged EED and RING1B, untreated control",Chromatin tracing of mouse HoxA locus,"TC1 with EED-dTAG, dTAG-Ring1b",stem cells,Mouse stem cell,stem cell,DMSO treatment (8.0h),None,multiplexed FISH,2,2,1,4DNFIZNSPOZA,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/ac00e3de-dd85-4bdf-9610-27b6bb05679e/4DNFIZNSPOZA.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)
Murphy_2024_PMID38361032,4DNESTQ3UVYR,"mESC with tagged EED and RING1B, untreated control",Chromatin tracing of mouse HoxA locus,"TC1 with EED-dTAG, dTAG-Ring1b",stem cells,Mouse stem cell,stem cell,DMSO treatment (8.0h),None,multiplexed FISH,2,2,2,4DNFILHWDQLK,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/84c25dd7-85d0-4824-a2b4-bca9fa1dcaaa/4DNFILHWDQLK.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)
